"question1","question2","is_duplicate"
"who sell the good Life Insurance","the term group health insurance be generally associate with health insurance coverage obtain through a person place of employment group insurance can also be associate with other organization with a legally recognize structure and common interest  labor union and professional association ( state bar & state medical association for instance be example but in the large sense by far what most people be talk about when they refer group health insurance be employment based coverage technically in the group health insurance environment the employer be the policyholder and the employer cover employee and dependent receive certificate of coverage identify their cover status under the employer group health plan as such it be really a business / nonprofit organization governmental entity that obtain the health insurance policy for their employee so the employer be who can get the group health insurance and then any of their eligible employee can choose enroll in it in all but a few state a business qualify as a group it must have at least 2 eligible employee","0"
"what be the purpose of Life Insurance","this be an age old question the purpose be the need you be need fill remember the death benefit be a tax-free benefit which provide the financial resource provide for many need from the simple protect your family from lost income  preserve your way of life to protect a company from the loss of a business owner or key employee Peggy and Dave list out great reason define the purpose of Life Insurance","1"
"be a mustang consider a Sports Car on insurance","health insurance premium tend go up over time you can use them and not see an immediate increase the increase tend come at renewal time and even if you have not use it you may still see an increase it be good be prepared for a rise cost in health insurance","0"
"what look for when shop for renter insurance","the most important thing when buy insurance be select the appropriate limit get competent advice be critical check with your colleague  friend and neighbor select an agent who you can trust when you start work with them make sure they be accurately transmit all the require information to the insurance company when the policy come make sure it be exactly what you want price become an irrelevant issue if your suffer a loss and the policy do not adequately cover you","1"
"which type of Life Insurance be right for me","Life Insurance mature when the guarantee cash value of the policy equal the face amount of the policy this not can happen in term life because there be no cash value in term insurance whole life and some Universal Life policy will mature if the proceeds be not pay out as a death benefit prior to the policy mature","0"
"do A Single Woman need Life Insurance","a single woman can need life insurance if she have bill that will need be pay someone if she pass away she may want spare her friend and relative the stress of pay for her funeral by have a life insurance ready cover it she may want leave money to a charity or special love ones for all these purpose life insurance work well","1"
"how do Long term care insurance Payout","many life insurance policy expire if you have a policy that you must drop then the proper time do that be when you no longer love anyone or when you no longer owe anyone money or when you no longer want make a difference in this world you certainly do not want drop a policy if your health be decline or when there be still loose end in your estate","0"
"what car insurance group be the low","there be no such thing as who be the low insurance company have varying criterion rate individual or household and this can range from 1 insurance carrier to another so in other words the insurance company who have a great rate for your good friend may have a high rate for you as an independent agent I see this all the time I recommend if you want the right coverage at a competitive premium talk to an independent agent who can look at multiple insurance carrier and consult with you what be right for you and your household","1"
"how much will I have pay for Medicare","always check with your Insurance Professional about the detail of your particular coverage but generally speak these type of claim will be cover if however it be determine that therewas pre exist damage that have not repair this may negate the claim so always maintain your home and by all means report any claim promptly completely","0"
"what do Disability Insurance do for you","disability insurance also refer to as paycheck protection  pay a monthly benefit to the insured shall he or she become disable to an illness or injury the monthly benefit be typically 60-65% 1 income the average US worker only have 3 month worth of cash reserve so disability insurance will help offset the cost bring on a long-term disability","1"
"do Health Insurance cover Rolfing","under the new law you can not be deny health insurance for pre exist condition you can contact an authorize agent in your area ( state who can help you obtain health insurance each state have their own name for the new health care reform plan here in California it be call cover California","0"
"do the Medicare levy apply to me","there be 2 or possibly 3  type of Medicare levy or surcharge that may apply Medicare part b will assess a surcharge on your part b premium if your earnings exceed a threshold as determined by congress there be also a late enrollment penalty for part b if you fail sign up on a timely basis a third kind of levy be on part d if you do not sign up for d when you be first eligible","1"
"what do I do with a Life Insurance Payout","there be 2 type of life insurance : term and permanent life insurance term life insurance be for a time certain period of coverage indemnify your beneficiary from financial liability permanent life insurance be for ongoing financial liability that may never terminate depend upon your age term life insurance issue at guarantee period of 5  10  15  20 and 30 year permanent life insurance can mature up to age 121 and some police actually isle the life of the insured permanent life insurance can be classify into 2 category : par whole life and Universal Life universal life have 4 policy platform : guarantee universal life  current assumption universal life  indexed universal life and variable universal life","0"
"what be a variable annuity Life Insurance policy","that be a great question unless you be refer to the company by that name that be here in Houston I think you may be confuse 2 separate thing there be variable whole life policy and there be variable annuity and both be insurance product but they be vastly different thing both have few guarantee on performance and can make or lose money base upon the performance of the underlying investment variable product be generally consider security and be regulate by the sec while normal life insurance and annuity not annuity require a period of time at which point they pay out a stream of income ; life insurance pay when you pass away the only other thing that I can imagine be a variable policy that be offer an income stream for the payout as opposed to the lump sum benefit that be normally pay I will have know more about what you be look at be sure I hope that help thank you for ask","1"
"do State Farm have Disability Insurance","add to what Scott say insurance company be just like all other financial institution in that they try operate at a profit force an insurance company provide benefit everyone regardless of their individual risk profile be like demand bank loan money everyone under the same term and condition regardless of the individual credit worthiness","0"
"what be Viatical Life Insurance","there be actually not a type of life insurance call Viatical Life Insurance but life insurance be purchase from the policy owner as part of a viatical settlement or life settlement in order to sell 1 policy as part of a viatical settlement the policy must have cash value and the insured person must have a decrease life expectancy the purpose be provide the insured with cash while still alive while the entity who be buy the policy be bank on make more from the death benefit than what they pay for the policy most new cash value policy now ask whether the policy be be take out for the purpose of be sell because this defeat and misrepresent the purpose of life insurance for those with exist policy who find themselves with a severe terminal illness and insurance rich and cash poor a viatical may be a benefit but you must be very careful and look at every angle before go down that road","1"
"do home insurance cover earthquake","it depend on the policy if it be a Whole Life then it will build some cash value any time you purchase insurance it be important know what you be buy this be why I suggest buying from an experienced local agent the average person do not read the fine print when receive mail or TV solicitation as a result they think they purchase whole life for example and later find out it be term after the term run out and they be 86 years old with no insurance plus with a local agent your be go get local service  not speaking with someone over the phone who may not be aware of your circumstance","0"
"what do collision mean on auto insurance","collision be a define term in the Personal Auto Policy so there be not a lot of debate about what collision mean accord my copy of the Personal Auto Policy publish The Insurance Service Office ( ISO  Form PP 00 01 01 05  Part d - Coverage For Damage To Your Auto  Paragraph b ... Collision means the upset of your cover auto or a non-owned auto or their impact with another vehicle or object loss cause the following be consider other than collision : 1 missile or falling object ; 2 fire ; 3 theft or larceny ; 4 explosion or earthquake ; 5 windstorm ; 6 hail  water or flood ; 7 malicious mischief or vandalism ; 8 riot or civil commotion ; 9 contact with bird or animal or 10 breakage of glass if breakage of glass be cause a collision you may elect have it consider a loss cause collision I hope I have answer your question if not feel free call  fax or email me Kevin p. Foley  CPA  CPCU PFT&K insurance broker T 877-414-2031 F 877-405-3025 e kpfoley at kpfoley [ dot com w www [ dot kpfoley [ dot com","1"
"will car insurance go up after accident","how long do it take collect proceeds from a life policy not all that long most of the time be spend get the information together you be go need a certify copy of the certificate of death actually you shall have 5 or 6 make as you will need them for other thing besides insurance when you have the paperwork together and submit usually it do not take long payment be send to the beneficiary usually about 5 working day or so with the company I have work with you also will receive interest on the money hold while the paperwork be be put together as part of the claim","0"
"when Doe Life Insurance policy go into effect","if a life insurance policy be medically underwrite it will go into effect after the policy be approve and issue and delivery requirement be receive if it be a no exam policy the policy can go into effect as soon as the policy be approve which can be as short as hour after apply you must be sure have enough money in your checking account be draft as soon as a no exam policy be approve","1"
"how can Life Insurance be so cheap","as Jim mention it really depend on what you want your insurance do if you need permanent insurance solve a permanent need then whole life can be an option whole life can be either participate or non-participating if you have a participate policy then you participate in the profit of the insurance company if you have a non-participating policy then you do not share in any profit but chance be your initial premium will have be low another type of permanent insurance be Universal Life which typically allow for more flexibility in premium level and investment option each type have its strength and weakness I recommend that you will with a local insurance broker find the plan that be right for you at the right price if you have far question or feel I can be of assistance please do not hesitate contact me if you will like work with a local life insurance broker you can start with a Google search for example if you search for life insurance broker Halifax or life insurance agent Halifax my name along with several other will come up you can use the same method find a life insurance broker in your community","0"
"I have full coverage auto insurance , so be anyone who drive my car cover","it will be good you speak to your agent / broker or insurance company for detail explanation of your policy but it depend on your policy or state as to whether it will be cover or not.To answer your question in small word if you voluntarily hand your key and lend your vehicle someone else ( your brother get some food at the super market then yes they will be cover now the only policy that i see that will not cover it a Texas policy that be call Named Driver only policy in which you name who be the only person that will be cover under that policy I can only speak for NYS so I will advice you speak to your agent or company if they will cover this type of accident thank you","1"
"what insurance shall I get when rent a car","that will depend a lot on the individual specific need and situation work with an independent agent that can show you plan from several of the top rate health insurance carrier if you do that then you will be able answer that question for yourself and get unbiased advice from the independent agent it will save you a lot of time and it will help you find the good plan for your need","0"
"do Health Insurance cover personal training","most health plan will not pay for a personal trainer because it will not be consider a medically necessary item your doctor however there be some out there that may provide some coverage it - the drawback be the cost get that coverage may outweigh the benefit give the price for personal trainer session consult with your health insurance agent find out if your plan cover this if you have any other question or will like help with your own health coverage send me a private message by click on the contact me button","1"
"do ADP offer Health Insurance","yes typically from a premium stand point term life be much cheap than whole life the reason term life insurance have a shelf life or expiration date you be essentially rent the coverage the premium be guarantee level for a certain period of time such as 10-20-30 year and then it will either expire or have steep premium increase whole life premium be plan design be level for your whole life you will see whole life plan guarantee age 90-95-105-121-150 naturally insure that type of guarantee the premium will be much more expensive than term life rate also whole life insurance have a value add of cash value that accumulate that can be use for thing like retirement  college fund or an unexpected critical illness term life be just a death benefit","0"
"when cash in a whole life insurance policy","never it be dumb cash out a policy you waste much more than you think when you cash out the death benefit allow you spend everything else you have save up if the policy be all you have then take loan until you have no more cash value much more cash flow that way than just cash out","1"
"what be the difference between a 401K and an IRA","there be a group policy available to individual through a membership plan the membership come with $10000 in Life Insurance with the option buy up in $10000 increment up to $100000 in total coverage it be very inexpensive compared to those guarantee policy and any age can purchase as long as you work 30 hour or more per week and the membership come with advantage like discount dental  vision  pharmacy benefit also it be not available in AK  MT  SD  UT VT or Wa. contact me for more information","0"
"what drug Will Medicare pay for","some medication be cover under Medicare part A and part B. drug administer while an inpatient in the hospital be part A drug medication administer infusion in a clinic or doctor office be usually cover under Medicare part B. other outpatient drug may be cover under your part d plan check your plan formulary for cover medication and cost sharing","1"
"do Life Insurance test for nicotine","short term Disability Insurance can cover maternity if you purchase it before you be pregnant contact a broker that sell short term disability product find out the feature of the policy and how qualify for it as each policy be different and there be different payment option for different birth situation","0"
"can you drive a car if you be not on the insurance","in Montana yes you can if someone have give you permission drive the car then you be cover unless they have you exclude from the policy but keep in mind with most carrier when they be sign the policy they be state they have list all driver that live in the household and have access to the vehicle if you be drive the car on a regular basis they shall be list you on the policy I will talk to a local agent and also check the state you live in for the guideline they require in most case the insurance follow the car 1st and the driver second","1"
"which bank offer Roth IRA","Stonebridge Life Insurance company be an AEGON company Aegon N.V. a very large multinational headquarter in the Hague Netherlands that be currently rate A+ AM best Stonebridge Life Insurance company be rate A AM best in june of 2012 it administrative office be in Plano TX.","0"
"do homeowner insurance cover negligence","homeowner insurance may pay your legal defense and subsequent judgment under the liability portion of the policy example of coverage be provide be a) a dependent child hit a baseball thru a neighbor window  b) an own pet hurt a nonhousehold resident or c) someone slip on a wet floor in your home homeowner liability coverage can also protect you away from home as in the case of an errant tee shot on the golf course strike and injure someone definitive answer to this question be determine the insurance company at the time ofprompt file of a possible claim","1"
"can Health Insurance company share information","contribution to your Roth IRA do not have any tax consequence unless you exceed the permissible limit those limit be $5500 for most people and $6500 for those 50 old the premium be pay with after tax dollar just like you will buy a cup of coffee when the benefit be receive it be free of income tax if you be then over 59.9 and the plan have be in force for 5 year more","0"
"do farmer home insurance cover mold","it more than likely be an exclusion list inside your homeowner policy but it pay ask mold usually happen over time  thus can be prevent in most case insurance be for sudden accidental thing happen to you like a storm  wind or tree falling and damage your home mold be neither sudden or accidental it grow over time","1"
"what can easily get you drop from your auto insurance","whole life insurance can range in price from very low to very high it depend on your age and health among other thing we always recommend get a policy of whole life for a child insure their insurability for the future at an extremely low cost as you get a big old the price rise but slowly the young you the better it be get whole life then before it continue rise with good health and a reasonable age whole life can be very affordable  especially when you factor in it allow you take cash out for emergency or retirement help pay the future premium New York Life even offer custom whole life which allow you stop pay your premium completely and keep your life insurance Gary Lane  agent  New York Life  949 797 2424 thank you","0"
"at what age do Life Insurance end","the age that Life Insurance end be dependent on the age that the person be when they take it out and the type of policy they take out for term Life Insurance the policy end or go up in price to what be usually an unaffordable cost at the end of the term therefore someone who be 55 years old and take out a 10 year term policy will have find a new policy at age 65 for whole life insurance the policy end when death occur or when the policy mature typically at age 100 at either time the full amount of the death benefit be pay ( when the policy mature you be actually receive the cash value which become equal to the death benefit call endowment if you quit pay premium on the policy or borrow without pay it back the policy can end soon without any benefit be pay this be true for any type of Life Insurance policy some whole life policy be pay for with a single premium ; as long as you do not borrow from them those will be in effect upon death or maturity without pay any more premium as will any policy that be pay up at a certain point Universal Life operate much like whole life except you can pick an age at which your guarantee coverage will end","1"
"where can I buy Life Insurance online","that be a great question but a really hard 1 answer without knowing what your specific goal for the policy be income replacement  cash value growth  debt coverage  a legacy leave behind or simply cover funeral expense it be really difficult give you a specific answer I will tell you this if you be look for a policy that will cover your funeral expense  leave something behind or to draw money from  look for a whole life policy if you be look for short term coverage say cover college debt buy a term life policy if money be tight and you be look to cover expense and hopefully leave some behind get a mix of whole and term life policy fit your need and budget a good agent will walk you through this if you need help  drop me a line ok thanks for ask","0"
"do Medicare cover breast ultrasound","ultrasound be cover under Medicare if they be complete as an inpatient in a hospital it will be cover part A. if they be complete on an outpatient basis  it will be cover under part B. Medicare typically pay for about 80% the expense - you will be responsible for pay the other 20% a Medicare supplement policy can help pay the remain 20%","1"
"who much Life Insurance shall I have","the homeowner policy will provide coverage damage cause a rupture hot water heater it will not replace the hot water heater itself it be very important get assistance urgently as water damage never improve  it only get bad it be particularly critical if carpet or wood floor be involved","0"
"do State Farm offer annuity","yes State Farm do offer 3 type of annuity product at this time june 27 2013 the title and description of these 3 product be future wealth builder ( a flexible premium defer life annuity  Future Income Plus ( a single premium defer annuity and Guaranteed Income ( a single premium immediate annuity","1"
"how much do a Medigap plan cost","an SR22 be a Financial Responsibility file with the state inform them you have either purchase either liability insurance or a financial responsibility bond it will depend on the company rent the vehicle but most company will rent you a vehicle they may want you to and it will be advisable in this case purchase the extra insurance they offer or talk with your agent before rent a car and ask his advice since he will be more aware of the situation","0"
"do Life Insurance cover accidental overdose","life insurance will pay for accidental overdose if death occur during the contestable part of the policy ( the first 2 year the life insurance company will review the application  underwriting and medical record make sure a drug problem be not hide at the time the deceased person apply for life insurance if it be find the insured person do not admit substance abuse or diagnose mental instability when apply for insurance the policy claim can be deny however if lie or omission do not occur the benefit shall be pay","1"
"can you get Health Insurance as a real estate agent","if you fill out a life insurance application it will ask that very question what be the purpose for your life insurance policy that be because the purpose vary from person to person some purpose which people buy life insurance be 1) replace their income that will be lose upon their death hire other replace their contribution to the family that will be lose upon their death ( daycare  transportation  cleaning service  lawn service  etc 3) give a business time and resource replace an employee when a key employee die pass their estate to their heir in a tax friendly fashion pay tax  administrative fee and debt upon their death pay for chronic critical terminal illness expense when the policy have living benefit 7) pay off mortgage school loan  business loan and other debt pay all final expense include funeral  memorial service  burial  transportation  etc. 9) leave a gift to charity 10 provide cash value for retirement","0"
"will car insurance pay for a cracked windshield","great question and a great answer provide you have comprehensive coverage on your car yes damage be cover and it be wise look at what the repair will cost and at your deductible if the cost repair it be less than the deductible it may make more sense skip filling a claim you will have pay the deductible amount before insurance start pay anyway and you can avoid possible rate increase down the road thanks for ask","1"
"how can I crash my car get insurance money","Medicare part A for most people will be free and Medicare part b will be $104.90 per month for 2014 the premium for Medicare part b can be high if you have a high income over the last 2 year however Medicare part A & b only cover about 80% the cost of medical expense and for this reason many people get a Medicare Supplement Plan ( Medigap Plan cover the difference these plan can vary in premium base on which plan  your age  zip code and smoking status you can compare Medicare supplement plan instantly at SummitMedigap.com or give us a call at 1-888-407-8664","0"
"what be the cost of long term Disability Insurance","the cost of long term disability insurance will vary by the plan design that include the elimination period  length of coverage and additional policy rider it will also depend on your gender  age  smoking status  health history and current medical condition another impact item be your compensation and whether you can deduct the premium as a legitimate expense for the maximum benefit allow","1"
"who shall buy long term care insurance","yes you can under the affordable care act you can no longer be decline for health insurance for any pre-existing condition or other medical related issue please note you can only enroll in a plan during the annual enrollment period and/or you have a qualify event for a special enrollment period I hope the information be helpful - please feel free contact me for assistance with your coverage and if you have any other question thanks very much","0"
"what will void a Life Insurance policy","when a person apply for life insurance they make representation the company issue the policy on these statement if the person make false representation the company have some recourse refuse coverage normally for a limited time if the person commit suicide in the first 2 year most company will refuse coverage when a life insurance company refuse coverage they return the premium pay","1"
"what type of retirement plan be based on a formula","an auto insurance carrier can not drop you mid term during a policy period unless you fail make your premium payment or if you lie on your application now keep in mind police be self terminate so when you purchase a 6 month policy for example after the 6 month the policy self terminate at renewal the insurance carrier will choose offer you or not offer you a renewal or another 6 month of insurance if they have determine the risk that will be you the policy holder have exceed their risk tolerance each time you come up for renewal the insurance company will review you ( the risk and determine if you be a good risk or not then the insurance company will either offer you a renewal or choose not offer you a renewal it be the insurance company choice","0"
"do Medigap plan cover prescription drug","no. in today marketplace  if you have / want purchase a Medigap plan and want prescription drug coverage you will need enroll in a stand-alone part d plan these can be set-up during the annual enrollment period ( AEP or if / when you have a special enrollment period sep such as new to Medicare up until a few year ago Medigap plan do offer prescription coverage under plan e  h  I and J. change be make to the law that force these plan be take off the market and will require you buy prescription coverage through a stand-alone plan if you purchase 1 these plan before they be remove from the marketplace you can keep them please feel free contact me for help and if you have any other question thanks very much","1"
"how much do auto insurance cost a new driver","the current fixed interest rate on annuity average 2.95% for 5 year  3.25% for 10 year the rate can change quickly so always call your annuity distributor before use any quote include these quote most adviser be sell 5 year fix with an expectation rate be go to rise in the future the 35 basis point spread between the 5 and 10 year rate be not enough go long","0"
"how much do Disability Insurance pay","while the typical monthly benefit be 60-65% there be other type of policy you can get ensure you be fully cover many people also purchase critical illness insurance which pay out in a lump sum benefit as soon as you be diagnose with a cover illness other people often get Di retirement security which ensure your retirement savings be protect along with your monthly income","1"
"how much for long term Disability Insurance","how much do individual disability insurance cost it be go depend on many factor your age  your occupation  your health and build be factor inside the policy you may have pay more for a good definition of disability  a cola rider  future insurability rider and other feature that depending on your choice and need will either raise or lower the premium the waiting period before the plan kick in can save you money if you self insure that portion for as long as possible the duration not mention the amount of benefit will also effect pricing when consider a Di policy plug in and out the several feature for example a cola may have 3 option of 45 and 6% choose from each will change the premium my suggestion be plug in and pull out feature till you get the combination of cost benefit that you want","0"
"why do everyone need Health Insurance","the idea of insurance be protect yourself in the event of a catastrophic financial event by shift the risk to a third party ( the insurance company therefore your only financial responsibility be pay for a monthly premium and any applicable deductible  coinsurance and copayment state under your policy in the case of health insurance a common catastrophic event be a surgical procedure.For example if you break your leg the procedure repair the fracture cost $100000  you will be responsible for the entire bill if you do not have any health insurance and most people can not afford write that check after the procedure you may need the aid of equipment assist you e.g. crutch  some physical therapy or medication - these expense can add up fast too maternity care be a big 1 as well - the birth of a pre-mature baby can cost over $1000000 in expense for his / her care and development maternity care be 1 the essential health benefit cover under every individual health plan in marketplace I recommend consult with an experienced health insurance broker who can help you find the good program for your specific need I hope the information be helpful - please feel free contact me for help and if you have any question thanks very much","1"
"what be the purpose of Life Insurance","disability insurance be just that it cover you shall you be unable perform your job due to an accident or illness some company consider disability include any occupation while other consider disability mean you be unable perform the duty of your own occupation when select a disability plan make sure you choose own occupation over any occupation","0"
"what type of hospital bed will Medicare pay for","guideline for what type of bed Medicare will pay for vary by state in all state Medicare will not pay for the cost of a fully electric bed however Medicare will pay for the cost of a semielectric bed when there be a medical necessity for that type of bed you can then pay for the difference so that you can purchase a fully electric bed if desire","1"
"do renter need insurance","anyone who work automatically contribute into the Medicare fund through FICA tax employee and employer split the bill down the middle 12.4% income be contribute to social security up to $113700 in earnings for 2013 2.9% earnings be contribute towards Medicare with no income limit the Affordable Care Act include a provision that increase the contribution make for high income earner single earner make more than $200000 and married couple make more than $250000 must pay an additional .9% towards Medicare self employed worker pay the entire amount and need make quarterly estimate tax payment include these amount","0"
"do home owner insurance cover Air Conditioner","well it depend on the cause of damage if let say it be a fire and the ac be damage then yes it cover if let say the ac motor blow out and the blower be not working then that be a maintanice issue and home insurance do not cover taht good luck","1"
"be Disability Insurance consider earn income","a good homeowner insurance policy be 1 that pay a claim in a timely manner that mean it be a policy with appropriate limit ( enough cover the loss that mean it be a policy that be in force at the time of loss that mean the company stand behind the policy have a good reputation particularly in adjust claim generally it mean it be a policy write for you a competent agent who be establish and respect in your community","0"
"why be car insurance high for unemployed","in California employment be not a rating or underwriting factor however in some state the insurance company have be able demonstrate unemployment lead to different claim pattern if they can convince the state insurance commissioner they may be able use that factor in determine premium or in decline business","1"
"how can you cash in a Life Insurance policy","yes life insurance can cover funeral cost if you have the right type of life insurance and enough of it if you be buy a policy mainly cover funeral cost you want make sure it be a whole life policy not a term and usually not a universal life depending on your age you need figure inflation in and buy the amount cover a funeral not only today but in future year an average funeral today be $8000 to 10000 in most part of the country but those cost have always double every 15 year so","0"
"how do Life Insurance underwriting work","life insurance underwriting be the art of collect financial medical behavioral information and integrate a composite picture of the propose insured this big picture approach can sometimes create extra credit on the underwriter balance offset potential debit or health item that may cause the premium price increase based on the risk to the life insurance company financial justification must be establish for the face amount of insurance amount youre apply for with documentation medical information be collected and include your doctor file  prescription history and the result of a paramed exam these item help develop the mortality risk to the company behavior like addiction  motor vehicle violation  dangerous recreational activity and vocational hazard be incorporate into the final decision","1"
"will renter insurance cover a steal motorcycle","it be hard say who have the good long term care insurance because each company have its own special feature what may be good for 1 person may not be good for another in reality less company be carry long term care insurance than in the past and it be not hard compare the feature of 3 to 5 company see which have the good policy for you","0"
"why be woman charge more for Health Insurance","insurance be sharing risk if you drive a corvette and I drive a Honda Fit will you think it be fair both be charge the same premium the same be true for any segmentation that take place you not do think it be fair woman be charge more than man for health insurance insurance company record show it cost more treat woman than man so like the corvette their premium shall be high in today environment health coverage be become an entitlement the dialog shift from demonstrate meaningful segment to politically define segment insurance company be tell what factor they can use base their rate perhaps in the near future woman and man will pay the same premium","1"
"when can you sign up for Medicare part A","it will depend on your health and if you have ever use tobacco product a 70 year old in perfect health who have never use tobacco can currently get a $200k 20 year level term policy for as low as $4111 per year but this will be a good case scenario figure but if they be in poor health it can be double that or even more and if they currently use or have recently use tobacco it will double that good case scenario figure as well most likely for a $200k 20 year level term it will be between $4500-$7000 depending on health and that be for a non-smoker but the amount of death benefit and the type of policy will ultimately dictate premium along with health & tobacco use","0"
"do it make sense purchase long term care insurance","do the value proposition make sense for long term care insurance which protect extend care risk of assist live and nurse home care the average married couple spend $250000 during retirement on medical expense and extend care the odds be you will live long than the precede generation if that be true you need extend care even long a non smoking married couple both age 60 will pay around $300 a month for $7000 a month benefit totally $420000 do that make sense","1"
"what be variable annuity","I not familiar with Sbi Life Insurance however surrender policy be generally the same with every company the fast way be write a letter the company perhaps fill out a company specific form request surrender the policy a common way be also just stop pay the premium I will only recommend this on a term policy where there be no cash value in the policy otherwise the policy may not surrender until the cash value be exhausted","0"
"how much shall you pay for Life Insurance","life insurance be mathematics the old you be the closer you be to the day you will die if you have medical condition that affect longevity that will enter into the equation if you want the coverage for a short period of time or if you want the policy be in force regardless of when you die that also be a factor this be say the cost of the policy will vary and a good life insurance agent can marry your need to your ability pay contact 1 today","1"
"do bank of America sell Life Insurance","by far 1 the most cost effective coverage option available be renter insurance a policy for renter insurance not only cover the personal property of the insured for loss  damage or theft anywhere in the world but also provide a level of personal liability insurance protect the insured shall they sue for cause damage or injury to another person or their property - again anywhere in the world this may have occur typically these policy provide for $100000 in personal liability coverage and can be increase for those who may want more coverage as well why will you want personal liability insurance I can tell you 100 story of renter who do not have this coverage and be sue for something that happen completely out of their control and have have their wage garnish pay off the law suit","0"
"what be prudential annuity","Prudential Annuities be a business of Prudential Financial Inc. the annuity that be sell by prudential include variable annuity  fixed annuity  immediate income annuity and modify guarantee annuity ( also call market adjust annuity you can call any agency that sell prudential product discuss variable annuity can only be sell someone with security license","1"
"do Medicare Part D cover Viagra","great question Usally and you shall always check with your current insurance compay insurance follow the car not the driver so if you borrow my car with my permission and you get an a car accident my auto insurance shall cover the accident so please check with your current insurance compay for more detail","0"
"do group Life Insurance have a cash value","it depend on the contract with your employer sometimes employer offer group life insurance with cash value build up ; Universal Life or variable Universal Life generally speak most employer only offer group term life insurance something be good than nothing have group life insurance with cash value can be a nice benefit for employee look for tax deferral alternative to 401 (k) plan","1"
"why take out Life Insurance","yes Medicare will provide coverage a kidney transplant please note how Medicare pay and how long the coverage will be for can vary based on a number of factor such as if you be under 65 and on Medicare due to end stage Renal Disease ( ESRD  if you be 65 or old and already on Medicare etc. there be a guidebook on Medicare website that provide the specific coverage guideline for each situation regarding kidney treatment call Medicare coverage of Kidney Dialysis & Kidney Transplant service the link to the page below WEBSITELINK you shall have both Medicare Part A & Part B in force and I will highly highly recommend have a Medicare supplement plan cover the gap in coverage Part A & Part B do not cover in short your Part A & Part B coverage only cover about 80% the expense other 20% can become a very high dollar amount after all be say and do I hope the information be helpful - please feel free contact me for help and if you have any other question thanks very much","0"
"at what age do term Life Insurance expire","the expiration of coverage be state in a term policy many have provision for continuous renewal to age past 80 the premium for these renewal be list in the policy and will stagger the imagination few term policy end in death claim most term policy expire before the insured","1"
"can I get insurance on a cat c car","normally there will not be a problem because you forget update the name and disclose the additional resident particularly if you be newly married if it appear to the insurance company there be intent not disclose the spouse for any reason as to avoid increased premium or non renewal then there can be a problem but again if it be just a honest overlook by your part I do not see there will be any problem with the claim","0"
"do progressive offer Life Insurance","progressive be mainly know for car insurance all or most car insurance company will sell you life insurance but it be not their main focus and if you shop and compare it to company that be mainly focus on life insurance it be unlikely you will decide go with them or any other car insurance company for your life insurance that will be like order a hamburger at Red Lobster they can probably sell you 1 but it be not really what they do","1"
"can you keep a car without insurance","it usually mean you be guarantee issue of a policy with that particular company guarantee issue tend be very expensive insurance policy and be not a good choice for a healthy individual as the policy pricing be set up for an unhealthy person the simple rule of thumb for the purchase of insurance be the more question ask and answer the cheap the rate will unasked question tend drive up premium that said if your health be such that the possibility of go through underwrite successfully be not great a guarantee issue policy may be the good thing for you as they say it beat a poke in the eye with a sharp stick","0"
"do homeowner insurance cover pest removal","the short answer be no in most situation almost all homeowner insurance policy provide an exclusion vermin which will include bug and animal please read your policy completely understand the coverage provide and any exclusion there may or contact your local agent have them go over the policy with you","1"
"why be long term care insurance so expensive in California","guarantee standard issue disability insurance also refer to as GSI  allow large group of client receive disability insurance without have go through medical financial underwriting Youll receive many of the same rider  elimination period and occupational class as you will if you be apply for Di individually GSI also provide coverage employee with pre-existing condition","0"
"can an employer reimburse an employee for Health Insurance","that depend  an employer can absolutely reimburse their employee for qualified medical expense but only if they do so in a way that provide an equitable enrichment all eligible employee the most common simple way a business can structure such a benefit be with a Health Reimbursement Account the HRA be a way in which a business can raise deductible and lower the premium and then reimburse employee for qualified medical expense as they go the HRA be a notational account so it do not require the business set aside fund in a specific account the major benefit for business will be the opportunity offer a far more comprehensive benefit plan at a low cost the lower cost first deliver through the substancially lower premium then sustained due to the majority of employee medical requirement on average not come close to maxing out their deductible so even though they may make a dent in their deductible some employee will satisfy their entire deductible it will not offset the savings realize on their premium the 1 key be such a plan be available to all eligible employee and do not discriminate against any group of employee especially the high pay employee","1"
